id,movie_id,time,url,img,title,uid,type,count,comment,createtm,lastupdatetm,advance,info,subject_type,user_id,deleted,content_id
389278,1225554,30,http://maoyan.meituan.net/movie/videos/854x48007bda2dc846b4dfea7ee4da28871eba4.mp4,http://p0.meituan.net/movie/af05e54dc2f876be95a2aaf93864e46228900.jpg,魔童 香港预告片3 (中文字幕),999,1,1,0,2020-04-17 02:59:07,2020-04-17 02:59:07,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x48007bda2dc846b4dfea7ee4da28871eba4.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x32007bda2dc846b4dfea7ee4da28871eba4.mp4"",""seq"":0}",0,0,0,742760
389279,1217024,61,http://maoyan.meituan.net/movie/videos/854x48032e4a2621292402a81a5be4849bc7476.mp4,http://p0.meituan.net/movie/3ff245f219c7d48b750e02a8a66e039c40175.jpg,少女与战车：最终章 第2话 预告片,999,1,1,0,2020-04-17 02:59:25,2020-04-17 02:59:26,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x48032e4a2621292402a81a5be4849bc7476.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x32032e4a2621292402a81a5be4849bc7476.mp4"",""seq"":0}",0,0,0,732930
389280,341944,30,http://maoyan.meituan.net/movie/videos/854x480465643d315b04fb1a6714aff975590a1.mp4,http://p0.meituan.net/movie/6c903de194dd4a4957adbcfb129933ce18966.jpg,游侠索罗：星球大战外传 香港预告片1 (中文字幕),999,1,0,0,2020-04-17 02:59:43,2020-04-17 02:59:44,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480465643d315b04fb1a6714aff975590a1.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320465643d315b04fb1a6714aff975590a1.mp4"",""seq"":0}",0,0,0,737661
389281,1208122,89,http://maoyan.meituan.net/movie/videos/854x48078589a9ae2ab4288b3db73628a4f1cb6.mp4,http://p1.meituan.net/movie/fab591b78fd716709b8a2b3790b556f66592.jpg,神秘巨星 其它花絮1,999,2,1,0,2020-04-17 02:59:59,2020-04-17 02:59:59,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x48078589a9ae2ab4288b3db73628a4f1cb6.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x32078589a9ae2ab4288b3db73628a4f1cb6.mp4"",""seq"":0}",0,0,0,755713
389282,1198439,15,http://maoyan.meituan.net/movie/videos/854x4801a8b474b999e47fc98303a77860a9778.mp4,http://p0.meituan.net/movie/f5930c491327b41f144286b3aa8147961680.jpg,低压槽：欲望之城 内地预告片3 (中文字幕),999,1,0,0,2020-04-17 03:00:23,2020-04-17 03:00:23,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4801a8b474b999e47fc98303a77860a9778.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3201a8b474b999e47fc98303a77860a9778.mp4"",""seq"":0}",0,0,0,815051
389283,1198439,30,http://maoyan.meituan.net/movie/videos/854x480f4fb3758f2be4260b48b3465b00bb343.mp4,http://p0.meituan.net/movie/f96f8b64709a9c51ac50214f7d82db1321147.jpg,低压槽：欲望之城 香港预告片4 (中文字幕),999,1,0,0,2020-04-17 03:00:23,2020-04-17 03:00:23,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480f4fb3758f2be4260b48b3465b00bb343.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320f4fb3758f2be4260b48b3465b00bb343.mp4"",""seq"":0}",0,0,0,737662
389284,1204093,128,http://maoyan.meituan.net/movie/videos/854x480f390921a9b854579bfd776bf4517c5c0.mp4,http://p0.meituan.net/movie/8f38e66c6d6acc8405f41af9af32ae6f29049.jpg,功夫联盟 MV2：主题曲《恰好》 (中文字幕),999,2,0,0,2020-04-17 03:00:24,2020-04-17 03:00:24,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480f390921a9b854579bfd776bf4517c5c0.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320f390921a9b854579bfd776bf4517c5c0.mp4"",""seq"":0}",0,0,0,765466
389285,1203678,194,http://maoyan.meituan.net/movie/videos/854x4801e6c19e5304e491f9322e02445521531.mp4,http://p0.meituan.net/movie/4b7c85cd4e1e4c61b6c7d046516dfcd29260.jpg,我的间谍前男友 MV1：病毒曲《请渣男原地爆炸》 (中文字幕),999,2,2,0,2020-04-17 03:00:33,2020-04-17 03:00:33,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4801e6c19e5304e491f9322e02445521531.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3201e6c19e5304e491f9322e02445521531.mp4"",""seq"":0}",0,0,0,765467
389286,1198834,110,http://maoyan.meituan.net/movie/videos/854x480414a3450211044f1b49c3bbe22b3ceba.mp4,http://p1.meituan.net/movie/34f8cab1517794a3c602314b398e069a14296.jpg,给19岁的我自己 花絮2：撩妹特辑 (中文字幕),999,2,0,0,2020-04-17 03:00:55,2020-04-17 03:00:55,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480414a3450211044f1b49c3bbe22b3ceba.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320414a3450211044f1b49c3bbe22b3ceba.mp4"",""seq"":0}",0,0,0,810047
389287,1211345,30,http://maoyan.meituan.net/movie/videos/854x480e87b8b409cd94d04b8c8e7fbeb50496e.mp4,http://p0.meituan.net/movie/16cc556fe0539231e76cf875b1dc655e19462.jpg,爱宠大机密2 中国预告片18：小白版 (中文字幕),999,1,1,0,2020-04-17 03:01:04,2020-04-17 03:01:05,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480e87b8b409cd94d04b8c8e7fbeb50496e.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320e87b8b409cd94d04b8c8e7fbeb50496e.mp4"",""seq"":0}",0,0,0,805045
