333070323	1206875
598865507	1205514
1153994116	1238846
2276843467	1174518
765440981	1206836
949590032	345808
775675364	249342
1414209693	1208942
1748550563	341229
356771634	1235560
341474339	1200486
353601162	341516
943780082	1206875
329973729	1204080
505732131	345808
830675520	577564
345135054	1206875
341158859	1235560
1168798219	345808
344209924	345808
350535785	345808
334651007	249342
369638123	1204080
651686684	1206875
464230260	1238846
1826514985	345808
381492286	1206875
344914435	1203575
1593810114	345808
546802376	368753
343223085	457445
859093351	1206875
1627850417	345918
376986906	342166
372623956	1215629
744372829	1206875
1055102931	345808
778618026	1200486
373975543	249342
454646913	249342
336925544	345808
819351604	345808
348793979	345808
610924065	457445
1268774190	345808
793873227	344869
372804179	1235560
374143296	1174518
332618738	457445
872701240	1204080
342842218	1238846
386417590	1206875
368495992	1238846
2275837191	1206875
541555507	580298
651582224	345808
792869577	1206875
965931004	1132519
928173651	1206875
677047257	42964
340339840	345808
360636179	1206875
353601162	42964
410062018	345918
369655617	1204080
384838552	345808
797446072	1235560
420711835	1174518
574555667	344990
381224094	1235560
1268774190	913839
425768740	345808
331705949	1235560
526260860	580298
826483810	1212592
351217480	1204080
356884608	338463
452948394	1235560
351932224	345655
702620632	42964
332640761	1235560
344593845	345808
332731218	1206875
983892644	1208282
2441757369	345808
386222144	341213
628247954	1235560
2446862214	345808
983892644	1229020
342730660	342166
335352176	580298
777101779	249342
843553124	1174518
1213404846	345808
373818556	249342
689364369	345808
1210782603	1203437
390896809	1235560
1628167771	345808
343553993	410629
333955131	1238846
375561128	1206875
856250308	1238846
601562617	345808
1133252837	345808
333544252	1206875
585614788	1182552
878439734	1206875
1715517568	345808
378122928	1238846
881093636	345808
356153244	249342
515046792	1235560
370679124	1182552
546714018	457445
477230506	342166
366100799	1217402
1346021910	1235560
343317519	1238846
1954432021	345808
474328510	345808
341972942	457445
390011398	1174518
345568853	345655
922656297	1235560
343311590	345808
666819893	249342
344479751	1196131
925948547	1206875
446430581	1238846
555764613	345808
352941724	262
557204222	345808
400758168	345808
377540109	1238846
371031797	1204774
338352106	123
350462034	342166
942604013	249342
361753987	1235560
561445324	1206875
419657994	345808
655695485	1174518
1710025981	1205547
1238035875	1239844
459744017	345808
746758559	341178
346226250	1215867
835631002	1240159
414132381	345808
363229465	1235560
928235096	345808
384953779	1235560
1417695492	1206875
332736553	1206875
342331912	1238862
402264227	345808
407870170	1206875
385908091	249342
2362494908	345808
360683120	345808
357560226	457445
837039584	1235560
358748225	1200265
1134562179	78460
976095829	342166
329782347	1174518
682370300	249342
338430462	1206875
442022708	1235560
335694490	1235560
1359556601	1206875
373903484	249342
915040035	457445
574738749	1208282
1854624183	345808
1392843116	1206875
725358508	1238846
331980543	1212512
384655178	1215867
357623000	345036
582619398	345036
336205701	249342
386585923	1203437
347739565	345808
2218927493	249342
1085000031	345808
874498269	345808
955446303	457445
546802376	1208846
1876663254	345808
330239705	1220969
331408740	249342
398206610	345808
365014074	345918
840726545	342062
560255296	1206875
820766058	345808
917039604	345808
339552466	345808
